student_id,course,semester,year
S0001,程序设计基础,第一学期,2023
S0001,高等数学,第一学期,2023
S0001,数据库原理,第一学期,2023
S0001,嵌入式系统,第一学期,2023
S0001,自然语言处理,第二学期,2023
S0001,大数据技术,第三学期,2023
S0001,软件工程,第三学期,2023
S0001,自动驾驶技术,第三学期,2023
S0001,区块链技术,第三学期,2023
S0001,云计算,第四学期,2023
S0001,数据挖掘,第四学期,2023
S0001,量子计算导论,第四学期,2023
S0001,深度学习,第四学期,2023
S0002,高等数学,第一学期,2023
S0002,线性代数,第二学期,2023
S0002,计算机网络,第三学期,2023
S0002,数据结构,第三学期,2023
S0002,物联网技术,第三学期,2023
S0002,计算机组成原理,第三学期,2023
S0002,区块链技术,第四学期,2023
S0002,软件工程,第五学期,2023
S0002,自动驾驶技术,第六学期,2023
S0003,高等数学,第一学期,2023
S0003,数据库原理,第二学期,2023
S0003,计算机视觉,第二学期,2023
S0003,自然语言处理,第三学期,2023
S0003,大数据技术,第四学期,2023
S0003,数据挖掘,第四学期,2023
S0003,数据结构,第四学期,2023
S0003,密码学基础,第四学期,2023
S0004,高等数学,第一学期,2023
S0004,强化学习,第一学期,2023
S0004,算法设计与分析,第一学期,2023
S0004,信息安全,第二学期,2023
S0004,物联网技术,第二学期,2023
S0004,密码学基础,第二学期,2023
S0004,区块链技术,第二学期,2023
S0004,数据挖掘,第三学期,2023
S0004,数据结构,第三学期,2023
S0004,深度学习,第四学期,2023
S0005,高等数学,第一学期,2023
S0005,线性代数,第二学期,2023
S0005,云计算,第二学期,2023
S0005,数据挖掘,第三学期,2023
S0005,深度学习,第三学期,2023
S0005,数据结构,第三学期,2023
S0005,信息安全,第三学期,2023
S0005,计算机组成原理,第四学期,2023
S0005,操作系统,第四学期,2023
S0006,程序设计基础,第一学期,2023
S0006,计算机网络,第一学期,2023
S0006,强化学习,第一学期,2023
S0006,密码学基础,第一学期,2023
S0006,自然语言处理,第二学期,2023
S0006,数据挖掘,第三学期,2023
S0006,操作系统,第三学期,2023
S0006,软件工程,第三学期,2023
S0006,深度学习,第三学期,2023
S0006,概率论与数理统计,第四学期,2023
S0006,大数据技术,第四学期,2023
S0007,计算机网络,第一学期,2023
S0007,高等数学,第一学期,2023
S0007,大学物理,第一学期,2023
S0007,概率论与数理统计,第一学期,2023
S0007,线性代数,第二学期,2023
S0007,计算机组成原理,第二学期,2023
S0007,操作系统,第二学期,2023
S0007,深度学习,第二学期,2023
S0007,区块链技术,第三学期,2023
S0007,自动驾驶技术,第三学期,2023
S0007,物联网技术,第三学期,2023
S0007,数据结构,第三学期,2023
S0007,软件工程,第四学期,2023
S0007,密码学基础,第五学期,2023
S0007,计算机视觉,第六学期,2023
S0008,计算机网络,第一学期,2023
S0008,物联网技术,第二学期,2023
S0008,算法设计与分析,第二学期,2023
S0008,数据库原理,第三学期,2023
S0008,大学物理,第三学期,2023
S0008,计算机组成原理,第三学期,2023
S0008,强化学习,第三学期,2023
S0008,人工智能导论,第四学期,2023
S0008,自然语言处理,第四学期,2023
S0009,软件工程,第一学期,2023
S0009,信息安全,第一学期,2023
S0009,算法设计与分析,第一学期,2023
S0009,自然语言处理,第一学期,2023
S0009,数据结构,第二学期,2023
S0009,数据库原理,第二学期,2023
S0009,计算机视觉,第二学期,2023
S0009,强化学习,第二学期,2023
S0009,深度学习,第三学期,2023
S0009,机器学习,第三学期,2023
S0009,大数据技术,第三学期,2023
S0009,计算机组成原理,第三学期,2023
S0010,计算机网络,第一学期,2023
S0010,大学物理,第二学期,2023
S0010,计算机组成原理,第二学期,2023
S0010,密码学基础,第二学期,2023
S0010,区块链技术,第三学期,2023
S0010,自然语言处理,第三学期,2023
S0010,强化学习,第四学期,2023
S0010,算法设计与分析,第四学期,2023
S0010,线性代数,第五学期,2023
S0011,程序设计基础,第一学期,2023
S0011,计算机组成原理,第一学期,2023
S0011,操作系统,第一学期,2023
S0011,区块链技术,第二学期,2023
S0011,量子计算导论,第二学期,2023
S0011,数据挖掘,第三学期,2023
S0011,大学物理,第四学期,2023
S0011,密码学基础,第四学期,2023
S0011,数据库原理,第五学期,2023
S0011,机器学习,第六学期,2023
S0011,计算机视觉,第一学期,2024
S0011,强化学习,第一学期,2024
S0011,自然语言处理,第二学期,2024
S0011,物联网技术,第三学期,2024
S0011,云计算,第三学期,2024
S0012,程序设计基础,第一学期,2023
S0012,高等数学,第一学期,2023
S0012,大学物理,第一学期,2023
S0012,离散数学,第一学期,2023
S0012,软件工程,第二学期,2023
S0012,大数据技术,第二学期,2023
S0012,计算机视觉,第二学期,2023
S0012,操作系统,第二学期,2023
S0012,物联网技术,第三学期,2023
S0012,强化学习,第三学期,2023
S0012,自然语言处理,第三学期,2023
S0012,数据挖掘,第三学期,2023
S0012,机器学习,第四学期,2023
S0013,高等数学,第一学期,2023
S0013,大学物理,第一学期,2023
S0013,计算机组成原理,第一学期,2023
S0013,线性代数,第一学期,2023
S0013,计算机视觉,第二学期,2023
S0013,自然语言处理,第二学期,2023
S0013,强化学习,第二学期,2023
S0013,量子计算导论,第三学期,2023
S0013,人工智能导论,第三学期,2023
S0013,自动驾驶技术,第四学期,2023
S0013,数据挖掘,第五学期,2023
S0013,区块链技术,第五学期,2023
S0014,高等数学,第一学期,2023
S0014,概率论与数理统计,第一学期,2023
S0014,区块链技术,第一学期,2023
S0014,物联网技术,第一学期,2023
S0014,操作系统,第二学期,2023
S0014,自然语言处理,第二学期,2023
S0014,算法设计与分析,第二学期,2023
S0014,嵌入式系统,第二学期,2023
S0014,数据库原理,第三学期,2023
S0014,信息安全,第四学期,2023
S0015,计算机网络,第一学期,2023
S0015,高等数学,第二学期,2023
S0015,线性代数,第二学期,2023
S0015,概率论与数理统计,第二学期,2023
S0015,强化学习,第三学期,2023
S0015,大数据技术,第三学期,2023
S0015,嵌入式系统,第三学期,2023
S0015,机器学习,第三学期,2023
S0016,计算机网络,第一学期,2023
S0016,程序设计基础,第一学期,2023
S0016,大学物理,第二学期,2023
S0016,计算机组成原理,第三学期,2023
S0016,嵌入式系统,第三学期,2023
S0016,操作系统,第三学期,2023
S0016,信息安全,第三学期,2023
S0016,算法设计与分析,第四学期,2023
S0016,离散数学,第四学期,2023
S0016,人工智能导论,第四学期,2023
S0016,密码学基础,第四学期,2023
S0016,区块链技术,第五学期,2023
S0016,数据库原理,第五学期,2023
S0016,大数据技术,第五学期,2023
S0016,自动驾驶技术,第六学期,2023
S0017,高等数学,第一学期,2023
S0017,自然语言处理,第一学期,2023
S0017,数据库原理,第一学期,2023
S0017,数据结构,第一学期,2023
S0017,物联网技术,第二学期,2023
S0017,操作系统,第二学期,2023
S0017,强化学习,第三学期,2023
S0017,信息安全,第三学期,2023
S0018,高等数学,第一学期,2023
S0018,大学物理,第二学期,2023
S0018,离散数学,第三学期,2023
S0018,密码学基础,第四学期,2023
S0018,计算机视觉,第四学期,2023
S0018,物联网技术,第四学期,2023
S0018,算法设计与分析,第四学期,2023
S0018,信息安全,第五学期,2023
S0019,计算机网络,第一学期,2023
S0019,高等数学,第二学期,2023
S0019,程序设计基础,第三学期,2023
S0019,线性代数,第四学期,2023
S0019,人工智能导论,第四学期,2023
S0019,强化学习,第四学期,2023
S0019,自动驾驶技术,第四学期,2023
S0019,机器学习,第五学期,2023
S0019,自然语言处理,第六学期,2023
S0019,云计算,第六学期,2023
S0019,区块链技术,第六学期,2023
S0019,信息安全,第六学期,2023
S0019,量子计算导论,第一学期,2024
S0019,软件工程,第一学期,2024
S0020,计算机网络,第一学期,2023
S0020,程序设计基础,第二学期,2023
S0020,数据结构,第二学期,2023
S0020,大学物理,第二学期,2023
S0020,软件工程,第二学期,2023
S0020,云计算,第三学期,2023
S0020,操作系统,第三学期,2023
S0020,自动驾驶技术,第三学期,2023
S0020,概率论与数理统计,第四学期,2023
S0020,机器学习,第四学期,2023
S0020,计算机视觉,第四学期,2023
S0020,离散数学,第四学期,2023
S0021,计算机网络,第一学期,2023
S0021,数据库原理,第二学期,2023
S0021,自动驾驶技术,第二学期,2023
S0021,机器学习,第二学期,2023
S0021,自然语言处理,第二学期,2023
S0021,区块链技术,第三学期,2023
